date,NIFTY50,SENSEX,NIFTY50_return,NIFTY50_prev_return,NIFTY50_volatility,NIFTY50_direction,SENSEX_return,SENSEX_prev_return,SENSEX_volatility,SENSEX_direction,NIFTY50_next_day_return,INDIA_VIX,VIX_change,VIX_pct_change
2018-01-01,,33812.75,,,,0,,,,0,,30.993428306022466,,
2018-01-02,10442.2001953125,33812.26171875,,,,0,-1.4440847775078888e-05,,,0,9.5760673203421e-05,29.72347139765763,-1.2699569083648363,-0.040975038186339185
2018-01-03,10443.2001953125,33793.37890625,9.5760673203421e-05,,,0,-0.000558616494614,-1.4440847775078888e-05,,0,0.0058812093687898,31.295377076201383,1.5719056785437537,0.05288432355406614
2018-01-04,10504.7998046875,33969.640625,0.0058812093687898,9.5760673203421e-05,,1,0.0052023099766944,-0.000558616494614,,1,0.005132056867763,33.046059712816046,1.7506826366146626,0.05594061488225277
2018-01-05,10558.849609375,34153.8515625,0.005132056867763,0.0058812093687898,,1,0.0054081604031477,0.0052023099766944,,1,0.006113570815585,29.531693250553328,-3.5143664622627178,-0.10634751897212613
2018-01-08,10623.599609375,34352.7890625,0.006113570815585,0.005132056867763,,1,0.0058078474548742,0.0054081604031477,0.0502880788626669,1,0.0012605846162125,29.53172608610164,3.283554831057245e-05,1.1118748943772516e-06
2018-01-09,10637.0,34443.19140625,0.0012605846162125,0.006113570815585,0.044600740867941,0,0.0026281301659957,0.0058078474548742,0.0451154270190737,1,-0.0004513385294137,19.61849971780888,-9.913226368292758,-0.33568056060760254
2018-01-10,10632.2001953125,34433.0703125,-0.0004513385294137,0.0012605846162125,0.0481042630668924,0,-0.0002938920774817,0.0026281301659957,0.045887840453611,0,0.0017854294613236,18.345295764995058,-1.273203952813823,-0.06489813039363357
2018-01-11,10651.2001953125,34503.48828125,0.0017854294613236,-0.0004513385294137,0.0445187800192789,0,0.0020429796519818,-0.0002938920774817,0.0425975531852638,1,0.0028172876803263,15.512929230057985,-2.832366534937073,-0.1543919798960971
2018-01-12,10681.25,34592.390625,0.0028172876803263,0.0017854294613236,0.0412164536197974,1,0.00257330521634,0.0020429796519818,0.0398470896123496,1,0.0056295129008365,17.206765449151668,1.6938362190936829,0.10918867700444945
2018-01-15,10741.5498046875,34843.51171875,0.0056295129008365,0.0028172876803263,0.0413037137805584,1,0.0072332087622148,0.00257330521634,0.0443634855763269,1,-0.0038335658715686,15.203535992430915,-2.003229456720753,-0.11642103582108843
2018-01-16,10700.4501953125,34771.05078125,-0.0038335658715686,0.0056295129008365,0.0523649913653971,-1,-0.0020817760269401,0.0072332087622148,0.048616836850587,-1,0.0081995535364297,16.305039629399197,1.1015036369682818,0.0724504903015104
2018-01-17,10788.5498046875,35081.8203125,0.0081995535364297,-0.0038335658715686,0.0568069454508118,1,0.0088978900006999,-0.0020817760269401,0.0547487651837346,1,0.0026336022006909,18.16461908821325,1.8595794588140535,0.1140493676238048
2018-01-18,10817.0,35260.2890625,0.0026336022006909,0.0081995535364297,0.0541847597193636,1,0.0050743184852016,0.0088978900006999,0.053155265890771,1,0.0071574797298409,13.591915482620765,-4.572703605592485,-0.25173682879811354
2018-01-19,10894.7001953125,35511.578125,0.0071574797298409,0.0026336022006909,0.0551030117957297,1,0.0071014127090061,0.0050743184852016,0.0536532917141194,1,0.0065413824387291,14.060465514546905,0.4685500319261404,0.034472700520044475
2018-01-22,10966.2001953125,35798.01171875,0.0065413824387291,0.0071574797298409,0.0547377194735415,1,0.0080335656078735,0.0071014127090061,0.0549374497097181,1,0.0106577453981743,16.349196888872203,2.288731374325298,0.16277778086062544
2018-01-23,11083.7001953125,36139.98046875,0.0106577453981743,0.0065413824387291,0.0603619582315054,1,0.0095073914489699,0.0080335656078735,0.0577001629924029,1,0.000207472782716,16.010533582481692,-0.33866330639051156,-0.020714369561542045
2018-01-24,11086.0,36161.640625,0.000207472782716,0.0106577453981743,0.0602011943929093,0,0.0005991610304257,0.0095073914489699,0.0575256020332144,0,-0.001475886471805,18.648614104481478,2.638080521999786,0.16477155545186228
2018-01-25,11069.650390625,36050.44140625,-0.001475886471805,0.000207472782716,0.0616509122931406,0,-0.0030797978265468,0.0005991610304257,0.0616969693316877,-1,0.0054729741150458,16.349043078271638,-2.29957102620984,-0.12331055880754305
2018-01-29,11130.400390625,36283.25,0.0054729741150458,-0.001475886471805,0.0602955064788885,1,0.0064370943364011,-0.0030797978265468,0.0608672824457571,1,-0.0072813500350772,15.204943245218267,-1.144099833053371,-0.06997962067724406
2018-01-30,11049.650390625,36033.73046875,-0.0072813500350772,0.0054729741150458,0.0706284833841967,-1,-0.0069007450204471,0.0064370943364011,0.0702057014391006,-1,-0.0019884815852113,21.994145876262778,6.78920263104451,0.44651285582270206
2018-01-31,11027.7001953125,35965.01953125,-0.0019884815852113,-0.0072813500350772,0.0709674106304307,0,-0.0019086708688591,-0.0069007450204471,0.0706628633521638,0,-0.0009798141281276,18.64518846207,-3.3489574141927783,-0.152265854424797
2018-02-01,11016.900390625,35906.66015625,-0.0009798141281276,-0.0019884815852113,0.0703527333128632,0,-0.0016239884215831,-0.0019086708688591,0.0717223931290398,0,-0.0235392139330768,19.17032974066217,0.5251412785921694,0.028164975626846944
2018-02-02,10760.599609375,35066.75,-0.0235392139330768,-0.0009798141281276,0.1145221113358432,-1,-0.0236694099017571,-0.0016239884215831,0.1163850136488706,-1,-0.0087786206983058,20.602714761157404,1.4323850204952358,0.07471885146852775
2018-02-05,10666.5498046875,34757.16015625,-0.0087786206983058,-0.0235392139330768,0.1185253632536917,-1,-0.0088677896107639,-0.0236694099017571,0.1212478334331255,-1,-0.0159040816546759,22.763770876318805,2.1610561151614007,0.10489181354078991
2018-02-06,10498.25,34195.94140625,-0.0159040816546759,-0.0087786206983058,0.1304747533871706,-1,-0.0162786337531979,-0.0088677896107639,0.1341106810243671,-1,-0.0020548141539544,25.269320518136794,2.5055496418179892,0.11006742491967869
2018-02-07,10476.7001953125,34082.7109375,-0.0020548141539544,-0.0159040816546759,0.1284892039805051,-1,-0.0033167196089475,-0.0162786337531979,0.1329014736202631,-1,0.0095138511458138,22.546933243205906,-2.722387274930888,-0.10773488242301266
2018-02-08,10576.849609375,34413.16015625,0.0095138511458138,-0.0020548141539544,0.1331426127776738,1,0.0096488088169714,-0.0033167196089475,0.1370611151684222,1,-0.0115920444485001,26.065657314458726,3.5187240712528194,0.15606220293010886
2018-02-09,10454.9501953125,34005.76171875,-0.0115920444485001,0.0095138511458138,0.138806475351845,-1,-0.0119090813273723,0.0096488088169714,0.1431033390135609,-1,0.0080782545170889,24.67937015534689,-1.3862871591118342,-0.053184431237913055
2018-02-12,10539.75,34300.46875,0.0080782545170889,-0.0115920444485001,0.1419595581012796,1,0.0086290476840493,-0.0119090813273723,0.1464132654490672,1,-0.0036928186917027,25.612568310541405,0.9331981551945141,0.03781288376973957
2018-02-14,10500.900390625,34155.94921875,-0.0036928186917027,0.0080782545170889,0.1418334616964482,-1,-0.0042222409596585,0.0086290476840493,0.146636288002333,-1,0.0042382236684079,24.979932945186025,-0.6326353653553802,-0.02470019240885757
2018-02-15,10545.5,34297.46875,0.0042382236684079,-0.0036928186917027,0.1411175223847441,1,0.0041347747730283,-0.0042222409596585,0.1449324768507979,1,-0.0088771974425149,29.816308607492285,4.83637566230626,0.1936104341400282
2018-02-16,10452.2998046875,34010.76171875,-0.0088771974425149,0.0042382236684079,0.1435101835038068,-1,-0.0083945583990214,0.0041347747730283,0.1472927541217732,-1,-0.0070952702880844,26.324023900904812,-3.4922847065874727,-0.11712666220894719
