date,article_count,daily_fear,daily_greed,daily_uncertainty,daily_optimism,fear_std,greed_std,uncertainty_std,optimism_std,fnei_simple,fnei_weighted,fnei_ratio,fnei_raw,fnei,fnei_category
2018-01-01,1,1.0,0.0,0.16975500000000002,0.0,,,,,20.756124999999997,12.453674999999999,0.0,12.453674999999999,12.453674999999999,Extreme Fear
2018-01-02,1,0.06825,1.0,0.045500000000000006,0.0,,,,,72.15625,62.9525,89.78675645342312,62.9525,37.7030875,Fear
2018-01-03,1,0.0641625,0.048810000000000006,1.0,0.073215,,,,,26.446562500000002,22.743575000000003,10.287159492070185,22.743575000000003,32.71658333333333,Fear
2018-01-04,1,0.0,0.10548500000000001,1.0,1.0,,,,,52.637125,58.164550000000006,52.50500478512078,58.164550000000006,39.078575,Fear
2018-01-05,1,1.0,0.0,0.15045,0.0,,,,,21.23875,12.74325,0.0,12.74325,33.81151,Fear
2018-01-06,1,0.048644999999999994,1.0,0.03243,1.0,,,,,97.973125,98.54065,96.10417692778971,98.54065,44.599700000000006,Neutral
2018-01-07,1,0.1012725,0.0,0.272965,0.0,,,,,40.6440625,28.880075000000005,0.0,28.880075000000005,42.354039285714286,Neutral
2018-01-08,1,0.0,0.16914500000000002,0.24509803921568626,1.0,,,,,73.10117401960785,71.3978794117647,82.6693126697931,71.3978794117647,50.7746399159664,Neutral
2018-01-09,1,1.0,0.0,0.105065,0.0,,,,,22.373375,13.424025,0.0,13.424025,43.699143487394956,Neutral
2018-01-10,1,0.06825,1.0,0.045500000000000006,0.0,,,,,72.15625,62.9525,89.78675645342312,62.9525,49.44327563025211,Neutral
2018-01-11,1,0.134415,0.0,1.0,0.0,,,,,21.639625000000002,17.3117,0.0,17.3117,43.60715420168067,Neutral
2018-01-12,1,0.0,0.08198,0.0,1.0,,,,,77.0495,72.4594,100.0,72.4594,52.13803277310925,Neutral
2018-01-13,1,1.0,1.0,1.0,0.0,,,,,25.0,30.0,33.33333333333333,30.0,42.34651134453782,Neutral
2018-01-14,1,0.060555,1.0,0.04037,0.1433025,,,,,76.05943749999999,68.19893750000001,91.88854128364787,68.19893750000001,47.963491701680674,Neutral
2018-01-15,1,0.065625,0.0,1.0,0.0,,,,,23.359375,18.6875,0.0,18.6875,40.433437500000004,Neutral
2018-01-16,1,0.0,0.17433,0.0,1.0,,,,,79.35825000000001,75.2299,100.0,75.2299,49.26284821428572,Neutral
2018-01-17,1,1.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,40.26963392857143,Neutral
2018-01-18,1,0.06825,1.0,0.045500000000000006,0.0,,,,,72.15625,62.9525,89.78675645342312,62.9525,46.78974821428572,Neutral
2018-01-19,1,0.065625,0.0,1.0,0.0,,,,,23.359375,18.6875,0.0,18.6875,39.10804821428571,Fear
2018-01-20,1,0.0,1.0,0.0,1.0,,,,,100.0,100.0,100.0,100.0,49.10804821428571,Neutral
2018-01-21,1,1.0,0.0,0.16975500000000002,0.0,,,,,20.756124999999997,12.453674999999999,0.0,12.453674999999999,41.144439285714284,Neutral
2018-01-22,1,0.06825,1.0,0.045500000000000006,0.0,,,,,72.15625,62.9525,89.78675645342312,62.9525,47.46801071428571,Neutral
2018-01-23,1,0.0641625,0.048810000000000006,1.0,0.073215,,,,,26.446562500000002,22.743575000000003,10.287159492070185,22.743575000000003,39.96996428571429,Fear
2018-01-25,1,1.0,0.0,0.15045,0.0,,,,,21.23875,12.74325,0.0,12.74325,41.79042857142857,Neutral
2018-01-26,1,0.048644999999999994,1.0,0.03243,1.0,,,,,97.973125,98.54065,96.10417692778971,98.54065,46.87445,Neutral
2018-01-28,1,0.0,0.16914500000000002,0.25,1.0,,,,,72.97862500000001,71.32435000000001,82.38375923531423,71.32435000000001,54.394000000000005,Neutral
2018-01-29,1,1.0,0.0,0.105065,0.0,,,,,22.373375,13.424025,0.0,13.424025,42.026003571428575,Neutral
2018-01-31,1,0.134415,0.0,1.0,0.0,,,,,21.639625000000002,17.3117,0.0,17.3117,42.72000714285714,Neutral
2018-02-01,1,0.0,0.08198,0.0,1.0,,,,,77.0495,72.4594,100.0,72.4594,44.07813571428572,Neutral
2018-02-03,1,0.060555,1.0,0.04037,0.1433025,,,,,76.05943749999999,68.19893750000001,91.88854128364787,68.19893750000001,50.571758928571434,Neutral
2018-02-04,1,0.065625,0.0,1.0,0.0,,,,,23.359375,18.6875,0.0,18.6875,51.4209375,Neutral
2018-02-06,1,1.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,37.34370178571429,Fear
2018-02-07,1,0.06825,1.0,0.045500000000000006,0.0,,,,,72.15625,62.9525,89.78675645342312,62.9525,36.14772321428571,Fear
